Date,Price,Open,High,Low,Vol.,Change %
2013-10-01,140.3,141.9,144.4,139.4,9.57K,-1.13%
2013-10-02,123,140.3,141.9,109.7,111.32K,-12.33%
2013-10-03,131,123,132,120.1,35.27K,6.50%
2013-10-04,136.8,131,139.8,128.5,18.51K,4.45%
2013-10-05,136.7,136.8,138,135.3,5.00K,-0.09%
2013-10-06,137.8,136.7,138,134.1,4.89K,0.80%
2013-10-07,135.8,137.8,139,135.1,7.36K,-1.45%
2013-10-08,136.5,135.8,137.8,135.6,5.23K,0.51%
2013-10-09,139.5,136.5,142.1,135.8,17.49K,2.21%
2013-10-10,140.4,139.5,141.7,138.5,11.08K,0.65%
2013-10-11,140.1,140.4,141.9,138.9,7.25K,-0.22%
2013-10-12,142.9,140.1,143.1,139.4,11.02K,1.99%
2013-10-13,147.5,142.9,147.6,141.5,16.17K,3.25%
2013-10-14,151.4,147.5,153.7,146,29.99K,2.60%
2013-10-15,158.1,151.4,158.1,150.6,15.73K,4.44%
2013-10-16,152.8,158.1,163,144.2,42.78K,-3.33%
2013-10-17,157.6,152.8,159.9,150.8,15.88K,3.12%
2013-10-18,168.3,157.6,168.3,156.5,25.89K,6.78%
2013-10-19,183.1,168.3,195.8,167.1,55.28K,8.84%
2013-10-20,186.1,183.1,186.1,177.2,11.42K,1.61%
2013-10-21,192.8,186.1,197.4,183.2,24.10K,3.59%
2013-10-22,203,192.8,205.5,192.8,33.87K,5.30%
2013-10-23,228,203,228,200.7,39.90K,12.31%
2013-10-24,207,228,233.4,175.3,96.75K,-9.21%
2013-10-25,197.9,207,209,176.6,36.75K,-4.40%
2013-10-26,188.6,197.9,198.4,187,12.09K,-4.71%
2013-10-27,206.9,188.6,207.8,188.9,13.16K,9.73%
2013-10-28,206.9,206.9,209.8,200.4,11.07K,0.00%
2013-10-29,216,206.9,216.5,204.2,10.02K,4.40%
2013-10-30,208,216,216.5,204,13.47K,-3.70%
2013-10-31,211.2,208,215,205.4,5.29K,1.52%
2013-11-01,213.4,211.2,214.9,209.7,5.88K,1.07%
2013-11-02,211.7,213.4,214.9,211,4.88K,-0.82%
2013-11-03,224,211.7,226.9,212.1,12.27K,5.82%
2013-11-04,238.2,224,239,221.9,18.06K,6.32%
2013-11-05,251.3,238.2,258.9,229,45.10K,5.52%
2013-11-06,264.1,251.3,272.5,251.4,38.82K,5.09%
2013-11-07,309.6,264.1,324.2,263.6,86.13K,17.25%
2013-11-08,355,309.6,358,308,44.63K,14.65%
2013-11-09,367.8,355,395,340,49.91K,3.60%
2013-11-10,336.3,367.8,372.5,290,74.25K,-8.56%
2013-11-11,363,336.3,376,321.4,18.00K,7.93%
2013-11-12,380,363,391.8,359,22.03K,4.70%
2013-11-13,434.9,380,445,372.2,36.02K,14.42%
2013-11-14,433.4,434.9,447.5,402.5,31.41K,-0.33%
2013-11-15,433.9,433.4,457.9,413,28.13K,0.12%
2013-11-16,462,433.9,476.9,428,19.14K,6.46%
2013-11-17,528.3,462,536.8,457,26.72K,14.36%
2013-11-18,785.4,528.3,787.9,522,72.07K,48.67%
2013-11-19,645.7,785.4,900.9,502.6,99.10K,-17.79%
2013-11-20,638,645.7,650,453.3,91.59K,-1.20%
2013-11-21,764.9,638,784.3,595.2,38.73K,19.90%
2013-11-22,802,764.9,822,682.3,30.15K,4.85%
2013-11-23,832.5,802,890,799.5,21.31K,3.80%
2013-11-24,795,832.5,855,745.2,25.95K,-4.50%
2013-11-25,830,795,850,759,26.38K,4.40%
2013-11-26,970,830,975,825.1,31.61K,16.86%
2013-11-27,1079.90,970,1094.80,914.3,37.86K,11.33%
2013-11-28,1101.40,1079.90,1224.50,1032.10,37.40K,1.99%
2013-11-29,1206.90,1101.40,1241.90,1050.00,38.71K,9.58%
2013-11-30,1205.70,1206.90,1232.90,1150.20,15.10K,-0.11%
2013-12-01,1004.40,1205.70,1216.80,840.3,79.92K,-16.69%
2013-12-02,1096.60,1004.40,1117.70,975,37.05K,9.18%
2013-12-03,1154.90,1096.60,1185.60,1064.90,19.34K,5.32%
2013-12-04,1237.60,1154.90,1239.70,1131.30,16.30K,7.16%
2013-12-05,1106.30,1237.60,1239.90,870,58.44K,-10.60%
2013-12-06,845,1106.30,1118.90,800.1,53.52K,-23.62%
2013-12-07,697,845,896,576,97.66K,-17.51%
2013-12-08,804,697,829,653,31.21K,15.34%
2013-12-09,919,804,980,787.7,27.63K,14.30%
2013-12-10,1033.70,919,1067.70,912,22.10K,12.49%
2013-12-11,919.9,1033.70,1056.80,856.1,24.36K,-11.01%
2013-12-12,900,919.9,941,839.5,9.91K,-2.17%
2013-12-13,936.8,900,989.9,882.1,17.37K,4.09%
2013-12-14,908.9,936.8,947.9,875.1,11.59K,-2.97%
2013-12-15,919.9,908.9,927.9,838,15.17K,1.20%
2013-12-16,759.9,919.9,924.9,714,41.33K,-17.39%
2013-12-17,715,759.9,780,678.9,31.71K,-5.92%
2013-12-18,541,715,717,454.9,110.50K,-24.34%
2013-12-19,732,541,746,522.4,45.76K,35.30%
2013-12-20,650,732,774.4,621.3,34.77K,-11.20%
2013-12-21,640.5,650,690,610,14.73K,-1.46%
2013-12-22,639.5,640.5,699.9,615,11.63K,-0.15%
2013-12-23,713.2,639.5,724.9,631,15.07K,11.53%
2013-12-24,702.8,713.2,729.9,666,10.95K,-1.47%
2013-12-25,707.3,702.8,710,673.9,5.34K,0.64%
2013-12-26,802,707.3,829.6,707.2,23.53K,13.39%
2013-12-27,803,802,836.8,767.9,13.89K,0.13%
2013-12-28,762,803,806,715.6,13.34K,-5.11%
2013-12-29,785,762,804,735,7.04K,3.01%
2013-12-30,804.8,785,818.8,781,10.48K,2.53%
2013-12-31,805.9,804.8,813.9,777,9.17K,0.14%
2014-01-01,815.9,805.9,829.9,771,10.76K,1.24%
2014-01-02,856.9,815.9,886.2,810.5,12.81K,5.02%
2014-01-03,884.3,856.9,888.2,839.4,9.71K,3.19%
2014-01-04,924.7,884.3,932.2,848.3,14.24K,4.57%
2014-01-05,1014.70,924.7,1029.90,911.4,21.37K,9.74%
2014-01-06,1012.70,1014.70,1093.40,964.7,23.08K,-0.21%
2014-01-07,879.9,1012.70,1044.00,879.8,22.67K,-13.11%
